source_id,captured_at_utc,outcome,manifest_sha256,note
S143,20260906T004600Z,allowed,,"NAMED OPT-OUT: robots.txt disallows anthropic-ai, ClaudeBot, Claude-Web"
S144,20260906T004601Z,allowed,,robots.txt disallows /feeds/
S145,20260906T004603Z,allowed,,nothing collected yet
S143,20260906T004740Z,,,named opt-out
S141,20260906T004741Z,,,"keyless SPARQL, CC0 content"
S142,20260906T004743Z,,,"keyless, ODbL"
S57,20260906T005008Z,allowed,,re-capture through the RFC 9309 engine
S95,20260906T005013Z,allowed,,re-capture
S04,20260906T005014Z,allowed,,re-capture
S135,20260906T005016Z,allowed,,re-capture
S139,20260906T005017Z,allowed,,re-capture
S140,20260906T005019Z,allowed,,re-capture
S57,20260906T005048Z,allowed,,re-capture through the RFC 9309 engine
S95,20260906T005051Z,allowed,,re-capture
S04,20260906T005101Z,allowed,,re-capture
S135,20260906T005115Z,allowed,,re-capture
S138,20260906T005125Z,allowed,,re-capture
S139,20260906T005127Z,allowed,,re-capture
S140,20260906T005138Z,allowed,,re-capture
S144,20260906T005153Z,,,"re-capture through the RFC 9309 engine - urllib said allowed, longest-match says disallowed"
S145,20260906T005201Z,allowed,,re-capture
S13,20260906T005202Z,allowed,,"Serbian Open Data Licence; last updated 2025-10-31, cadence irregular"
S141,20260906T005203Z,,,re-capture through RFC 9309 engine
S142,20260906T005209Z,,,re-capture through RFC 9309 engine
S143,20260906T005215Z,,,named opt-out
S146,20260906T010850Z,allowed,,"HVD under Reg (EU) 2023/138, cited by the source as an ELI URI"
S149,20260906T010912Z,,,monthly snapshot with DatumPreseka
S150,20260906T010913Z,allowed,,
S151,20260906T010920Z,allowed,,"open ArcGIS, three polygon layers"
S152,20260906T010921Z,allowed,,"weekly, 32MB combined since 2016"
S153,20260906T010921Z,allowed,,annual 2010-2024
S154,20260906T010937Z,allowed,,16 daily CSV series
S156,20260906T010948Z,,,"2013 onward, plain http"
S147,20260906T011041Z,allowed,,"udata API, 3530 datasets harvested"
S148,20260906T011056Z,allowed,,robots.txt: User-agent * Allow /
S149,20260906T011106Z,,,"monthly snapshot with DatumPreseka; 57.8 MB, body read capped"
S155,20260906T011111Z,allowed,,speeds continuous
S156,20260906T011113Z,,,"2013 onward, plain http"
S157,20260906T014341Z,allowed,,"bare IP, plain HTTP"
S158,20260906T014344Z,allowed,,GPS tracks with field strength
S159,20260906T014345Z,allowed,,institutions with rooms and floor area
S160,20260906T014345Z,allowed,,official immovable cultural property register
S164,20260906T014346Z,allowed,,
S165,20260906T014352Z,,,"139 MB zip, body read capped"
S166,20260906T014354Z,allowed,,HTML search
S167,20260906T014359Z,allowed,,robots Allow /
S168,20260906T014401Z,allowed,,"robots allows, www host returned 403 - retry at apex"
S169,20260906T014405Z,allowed,,"WordPress REST, keep/v1 namespace"
S170,20260906T014407Z,allowed,,CKAN v3 keyless
S176,20260906T015505Z,allowed,,robots path returns HTML
S01,20260906T021500Z,allowed,,backlog capture probe_ok
S02,20260906T021505Z,allowed,,backlog capture primary_page
S03,20260906T021507Z,allowed,,
S05,20260906T021509Z,allowed,,backlog capture probe_ok
S06,20260906T021510Z,allowed,,backlog capture primary_page
S07,20260906T021512Z,allowed,,backlog capture probe_ok
S08,20260906T021513Z,allowed,,backlog capture primary_page
S10,20260906T021517Z,,,backlog capture probe_ok
S11,20260906T021519Z,allowed,,backlog capture probe_ok
S12,20260906T021522Z,allowed,,backlog capture probe_ok
S14,20260906T021525Z,allowed,,backlog capture probe_ok
S15,20260906T021526Z,allowed,,backlog capture primary_page
S16,20260906T021528Z,allowed,,backlog capture primary_page
S17,20260906T021530Z,allowed,,backlog capture probe_ok
S18,20260906T021533Z,allowed,,backlog capture probe_ok
S19,20260906T021540Z,allowed,,backlog capture probe_ok
S20,20260906T021545Z,allowed,,backlog capture primary_page
S21,20260906T021549Z,allowed,,
S22,20260906T021550Z,allowed,,backlog capture primary_page
S23,20260906T021552Z,allowed,,backlog capture primary_page
S24,20260906T021553Z,allowed,,backlog capture primary_page
S25,20260906T021555Z,allowed,,backlog capture primary_page
S26,20260906T021602Z,allowed,,backlog capture primary_page
S27,20260906T021606Z,allowed,,backlog capture primary_page
S28,20260906T021610Z,allowed,,backlog capture probe_ok
S29,20260906T021612Z,allowed,,backlog capture primary_page
S30,20260906T021616Z,allowed,,backlog capture primary_page
S31,20260906T021617Z,allowed,,backlog capture primary_page
S32,20260906T021620Z,allowed,,backlog capture lead
S33,20260906T021622Z,allowed,,backlog capture lead
S35,20260906T021626Z,,,backlog capture probe_ok
S36,20260906T021629Z,allowed,,
S37,20260906T021633Z,,,
S38,20260906T021646Z,allowed,,
S39,20260906T021710Z,allowed,,backlog capture probe_ok
S40,20260906T021711Z,allowed,,backlog capture probe_ok
S41,20260906T021713Z,allowed,,backlog capture probe_ok
S42,20260906T021715Z,,,backlog capture primary_page
S43,20260906T021717Z,allowed,,backlog capture primary_page
S44,20260906T021719Z,allowed,,backlog capture primary_page
S45,20260906T021721Z,allowed,,backlog capture probe_ok
S46,20260906T021724Z,allowed,,backlog capture probe_ok
S47,20260906T021726Z,allowed,,backlog capture probe_ok
S48,20260906T021728Z,allowed,,backlog capture probe_ok
S49,20260906T021730Z,allowed,,backlog capture probe_ok
S50,20260906T021732Z,allowed,,backlog capture probe_ok
S51,20260906T021736Z,allowed,,backlog capture probe_ok
S52,20260906T021740Z,allowed,,backlog capture probe_ok
S53,20260906T021742Z,allowed,,backlog capture probe_ok
S54,20260906T021743Z,allowed,,backlog capture probe_ok
S55,20260906T021745Z,allowed,,backlog capture probe_ok
S56,20260906T021752Z,allowed,,backlog capture probe_ok
S58,20260906T021808Z,allowed,,backlog capture probe_ok
S59,20260906T021818Z,,,backlog capture lead
S60,20260906T021821Z,allowed,,backlog capture lead
S68,20260906T021824Z,allowed,,backlog capture probe_ok
S69,20260906T021827Z,allowed,,backlog capture probe_ok
S70,20260906T021833Z,allowed,,backlog capture probe_ok
S71,20260906T021834Z,allowed,,backlog capture probe_ok
S72,20260906T021835Z,allowed,,backlog capture probe_ok
S73,20260906T021839Z,allowed,,backlog capture probe_ok
S74,20260906T021842Z,allowed,,backlog capture probe_ok
S75,20260906T021849Z,allowed,,backlog capture probe_ok
S76,20260906T021852Z,allowed,,backlog capture probe_ok
S77,20260906T021854Z,allowed,,backlog capture probe_ok
S78,20260906T021855Z,allowed,,backlog capture probe_ok
S79,20260906T021857Z,,,backlog capture probe_ok
S80,20260906T022014Z,allowed,,backlog capture probe_ok
S81,20260906T022022Z,allowed,,backlog capture primary_page
S82,20260906T022035Z,allowed,,backlog capture lead
S83,20260906T022045Z,allowed,,backlog capture probe_ok
S84,20260906T022048Z,allowed,,backlog capture probe_ok
S85,20260906T022053Z,allowed,,backlog capture probe_ok
S86,20260906T022056Z,allowed,,backlog capture probe_ok
S87,20260906T022100Z,allowed,,backlog capture probe_ok
S88,20260906T022103Z,allowed,,backlog capture probe_ok
S89,20260906T022112Z,allowed,,backlog capture probe_ok
S90,20260906T022117Z,allowed,,backlog capture probe_ok
S91,20260906T022121Z,allowed,,backlog capture probe_ok
S92,20260906T022127Z,allowed,,backlog capture probe_ok
S93,20260906T022138Z,allowed,,backlog capture probe_ok
S94,20260906T022151Z,allowed,,backlog capture probe_ok
S96,20260906T022206Z,allowed,,backlog capture probe_ok
S97,20260906T022224Z,allowed,,backlog capture probe_ok
S98,20260906T022230Z,allowed,,backlog capture probe_ok
S99,20260906T022233Z,allowed,,backlog capture probe_ok
S100,20260906T022236Z,allowed,,backlog capture probe_ok
S101,20260906T022240Z,allowed,,backlog capture lead
S102,20260906T022242Z,allowed,,backlog capture lead
S109,20260906T022249Z,allowed,,backlog capture probe_ok
S110,20260906T022255Z,allowed,,backlog capture probe_ok
S111,20260906T022257Z,allowed,,backlog capture lead
S112,20260906T022307Z,allowed,,backlog capture probe_ok
S113,20260906T022315Z,allowed,,backlog capture probe_ok
S114,20260906T022317Z,allowed,,backlog capture probe_ok
S116,20260906T022318Z,,,backlog capture probe_ok
S117,20260906T022320Z,allowed,,backlog capture probe_ok
S118,20260906T022322Z,allowed,,backlog capture probe_ok
S119,20260906T022324Z,allowed,,backlog capture lead
S120,20260906T022327Z,allowed,,backlog capture probe_ok
S121,20260906T022330Z,allowed,,backlog capture probe_ok
S122,20260906T022332Z,allowed,,backlog capture primary_page
S123,20260906T022335Z,allowed,,backlog capture probe_ok
S124,20260906T022337Z,allowed,,backlog capture lead
S126,20260906T022339Z,allowed,,backlog capture probe_ok
S127,20260906T022341Z,allowed,,backlog capture probe_ok
S128,20260906T022343Z,allowed,,backlog capture probe_ok
S129,20260906T022345Z,allowed,,backlog capture probe_ok
S130,20260906T022351Z,allowed,,backlog capture probe_ok
S131,20260906T022353Z,allowed,,backlog capture probe_ok
S133,20260906T022400Z,allowed,,backlog capture probe_ok
S161,20260906T022403Z,allowed,,backlog capture lead
S162,20260906T022405Z,,,backlog capture lead
S163,20260906T022454Z,,,backlog capture lead
S171,20260906T022457Z,allowed,,backlog capture lead
S172,20260906T022501Z,allowed,,backlog capture lead
S173,20260906T022502Z,allowed,,backlog capture probe_ok
S174,20260906T022507Z,allowed,,backlog capture lead
S175,20260906T022509Z,allowed,,backlog capture lead
S10,20260906T022944Z,allowed,,re-capture with the machine trust store
S59,20260906T023020Z,allowed,,re-capture with the machine trust store
S79,20260906T023055Z,allowed,,re-capture
S149,20260906T023158Z,allowed,,"re-capture, body read is capped"
S156,20260906T023211Z,,,re-capture
S162,20260906T023212Z,,,re-capture
S42,20260906T023447Z,,,"re-capture: Allow: /$ - urllib mishandles the $ anchor, engines now disagree rather than silently refusing"
S06,20260906T023554Z,allowed,,"verified daily, 2011-2024 xlsx"
S184,20260906T104019Z,allowed,,Device discovery wave: capture public operator measurement page; instrument measurements are distinct from ambient air observations. Terms/reuse and freshness evaluated separately.
S158,20260906T104108Z,allowed,,"Exact-host recapture for existing BG campaign wrongly stored under S155. Shared host is intentional; S158 is EMF, S155 nettest/spectrum. Does not retroactively clear original collection."
S185,20260906T104124Z,allowed,,Bounded station metadata capture to test Belgrade bbox coverage; site name search alone is not a geographic absence proof.
S186,20260906T104127Z,allowed,,Official station catalogue lists BGD; access page explicitly links credential-free REST API. Establish API routes before data probe.
S186,20260906T104230Z,allowed,,Published API documentation URLs from ACTRIS own data-management-plan. Root 404 does not establish API absence.
S158,20260906T104256Z,allowed,,Published exact routes from saved national catalogue: November2024 Belgrade drive campaign and Science Technology Park fixed monitor. No site-form request and no inference from active/passive station count.
S186,20260906T104516Z,allowed,,Routes and countryCode parameter taken from captured WADL. bgd station code from official EARLINET catalogue. Query is metadata only.
S187,20260906T104518Z,allowed,,Operator reports equipped SV25 survey vessel May2025 and 34 Sava anchorage profiles December2025. Distinct evidence: do not infer which instrument made the local profiles. Raw survey access unknown.
S188,20260906T104518Z,allowed,,"New upper-air product within existing RHMZ provider, distinct from S02 surface readings. Operator instrument/method page only; no current numerical sounding downloaded."
S186,20260906T104605Z,allowed,,WADL-confirmed station metadata query; compare all-station catalogue with explicit RS filter before claiming local data absence.
S189,20260906T104631Z,allowed,,Official 2013 installation notice. Device existence historical; no current detector stream or count inferred.
S175,20260906T104632Z,allowed,,"Correct heat utility host is beoelektrane.co.rs. Shared BVK host with S11/S63 is intentional; historical instrumentation evidence only, no private or live telemetry."
S186,20260906T104836Z,allowed,,Exact uppercase station ID BGD confirmed from 54-station catalogue and RS-filtered response. One-month metadata-only query; no bulk NetCDF download.
S158,20260906T110022Z,allowed,,"Resource-scoped licence review. National catalogue links exact Science Park21 and BG November2024 JSON. Portal licence grants copying/adaptation/redistribution with authority, URL, retrieval date and changes. Does not cover all RATEL website content."
S186,20260906T110026Z,allowed,,Approved2023 licensing: CC BY4 for specified levels0/1/2 and level1/2 metadata; legacy/level3 distinctions. Generic station metadata and any BGD profile must be matched to scope; no blanket licence asserted.
S187,20260906T112601Z,,,Follow-up wave: inspect access and explicit operator terms before any raw bulletin records. No individual vessel data.
S186,20260906T112601Z,allowed,,WADL-documented metadata route; earlier opticalproducts404 was wrong route. Historical May2020 campaign id516 corroborated by primary indexed portal. No raw product download yet.
S158,20260906T112604Z,allowed,,"Operator device page only, no raw archive endpoint. Record168 may differ from historical selective station21; replacement relation not assumed. Catalogue SODL coverage does not automatically extend to this page."
S190,20260906T113103Z,allowed,,"One author preprint, posted03June2026, not peer reviewed. CC BY4 article licence and data-availability statement inspected separately; article licence does not clear any embargoed underlying dataset. New instrument inventory candidate, not raw-series collection."
S191,20260906T113410Z,allowed,,Independent original project dataset catalogue. Inspect per-site DOI links and resource-specific licences; open-science commitment is not a blanket data grant. Ada Marina separate from Bor. No underlying dataset requested.
S190,20260906T113853Z,,,Offline manual review; all HTTP statuses and raw evidence reused unchanged from113103Z. No new network request.
S191,20260906T114007Z,,,"Single resource-metadata review only; no raw data file. Ada Marina DTT DOI, distinct from Bor18255581. Prior catalogue receipt remains separately retained."
S192,20260906T123023Z,allowed,,"Distinct groundwater product, shared RHMZ host with surface/weather sources. Exact public reporting route; bounded local factual research only. Operator-posted law Article36 requires citation and addresses transfer to third parties; raw redistribution and recurring collection are not cleared. Inspec"
S102,20260906T123712Z,allowed,,Distinct EGMS ground-motion product on a host shared with S62/S92/S133 land products. Coverage correction only; operator page excludes Serbia. No ground-motion data request.
S191,20260906T123714Z,allowed,,"Eight exact DOI metadata routes documented by DataCite; CC0 is metadata only. AA landing captured as terms/access evidence. No raw data, no DTT repeat. HTTP failures remain unknown/held regardless of permissive tool boolean. One bounded metadata batch max128KiB each follows only after inspection."
S193,20260908T215715Z,allowed,,national SDI OGC host; base map for BEOPS studies
S194,20260908T220025Z,,,17 one-off requests for municipality outlines; base map
S98,20260908T225306Z,allowed,,"base map for BEOPS: rivers, lakes, urban footprint; used after S193/S194/S126/S142/S127 were refused"
S68,20260909T102100Z,allowed,,news audit re-capture; publisher Tacno d.o.o.
S69,20260909T102127Z,allowed,,news audit re-capture (ownership change)
S70,20260909T102135Z,allowed,,news audit re-capture
S71,20260909T102138Z,allowed,,news audit re-capture
S72,20260909T102145Z,allowed,,news audit re-capture
S73,20260909T102147Z,allowed,,news audit re-capture (ownership change)
S74,20260909T102147Z,allowed,,news audit re-capture; X-Robots-Tag noindex decision recorded in the registry
S75,20260909T102151Z,allowed,,news audit re-capture
S76,20260909T102153Z,allowed,,news audit re-capture; free teaser of a paid wire
S77,20260909T102154Z,allowed,,"news audit re-capture; record split (Cenzolovka S200, Masina S201)"
S78,20260909T102154Z,allowed,,news audit re-capture
S79,20260909T102155Z,allowed,,news audit re-capture
S175,20260909T102156Z,allowed,,news audit: Beogradske elektrane RSS with daily Stanje sistema
S195,20260909T102157Z,allowed,,news audit: new source
S196,20260909T102158Z,allowed,,news audit: new source
S197,20260909T102159Z,allowed,,news audit: new source
S198,20260909T102159Z,allowed,,news audit: new source
S199,20260909T102201Z,allowed,,news audit: new source
S200,20260909T102201Z,allowed,,news audit: new source (split from S77)
S201,20260909T102202Z,allowed,,news audit: new source (split from S77)
S202,20260909T102203Z,allowed,,news audit: new source
S203,20260909T102204Z,allowed,,"news audit: official materials, Art. 6(2)"
S204,20260909T102204Z,,,news audit: robots.txt names ClaudeBot
S205,20260909T102205Z,allowed,,news audit: feed route redirect-loops from the cloud; measured from the PC
S206,20260909T102205Z,allowed,,news audit: HTML notices of a public enterprise; host shared with S57/S135 (different product)
S15,20260909T102504Z,allowed,,"news audit: official city portal listings, Art. 6(2); the host is shared with S31/S64 (planning notices, open-data portal) - a different product of the same portal"
S11,20260909T102506Z,allowed,,news audit: the utility RSS route; host shared with S63 (water quality page) and S175 (utilities survey) - a different product
S146,20260909T103633Z,allowed,,weekly re-check of a polled source
S04,20260909T103633Z,allowed,,weekly re-check of a polled source
S10,20260909T103634Z,allowed,,weekly re-check of a polled source
S68,20260909T103634Z,allowed,,weekly re-check of a polled source
S69,20260909T103634Z,allowed,,weekly re-check of a polled source
S75,20260909T103636Z,allowed,,weekly re-check of a polled source
S76,20260909T103636Z,allowed,,weekly re-check of a polled source
S78,20260909T103637Z,allowed,,weekly re-check of a polled source
S74,20260909T103638Z,allowed,,weekly re-check of a polled source
S70,20260909T103642Z,allowed,,weekly re-check of a polled source
S71,20260909T103642Z,allowed,,weekly re-check of a polled source
S72,20260909T103642Z,allowed,,weekly re-check of a polled source
S11,20260909T103642Z,allowed,,weekly re-check of a polled source
S175,20260909T103642Z,allowed,,weekly re-check of a polled source
S195,20260909T103643Z,allowed,,weekly re-check of a polled source
S196,20260909T103643Z,allowed,,weekly re-check of a polled source
S197,20260909T103644Z,allowed,,weekly re-check of a polled source
S198,20260909T103644Z,allowed,,weekly re-check of a polled source
S199,20260909T103645Z,allowed,,weekly re-check of a polled source
S200,20260909T103645Z,allowed,,weekly re-check of a polled source
S201,20260909T103647Z,allowed,,weekly re-check of a polled source
S202,20260909T103647Z,allowed,,weekly re-check of a polled source
S203,20260909T103647Z,allowed,,weekly re-check of a polled source
S207,20260909T104949Z,allowed,,news audit: Blic could not be read from the cloud; measured from the PC
S208,20260909T104950Z,allowed,,"news audit: the City portal listing, Art. 6(2); host shared with S15/S31/S64 - a different product"
S15,20260909T104952Z,allowed,,news audit: the exact listing URL the collector polls (transport notices); host shared with S31/S64/S208
S146,20260909T113408Z,allowed,,weekly re-check of a polled source
S04,20260909T113410Z,allowed,,weekly re-check of a polled source
S10,20260909T113411Z,allowed,,weekly re-check of a polled source
S68,20260909T113411Z,allowed,,weekly re-check of a polled source
S69,20260909T113411Z,allowed,,weekly re-check of a polled source
S75,20260909T113412Z,allowed,,weekly re-check of a polled source
S76,20260909T113412Z,allowed,,weekly re-check of a polled source
S78,20260909T113413Z,allowed,,weekly re-check of a polled source
S74,20260909T113413Z,allowed,,weekly re-check of a polled source
S70,20260909T113420Z,allowed,,weekly re-check of a polled source
S71,20260909T113420Z,allowed,,weekly re-check of a polled source
S72,20260909T113421Z,allowed,,weekly re-check of a polled source
S11,20260909T113421Z,allowed,,weekly re-check of a polled source
S175,20260909T113422Z,allowed,,weekly re-check of a polled source
S195,20260909T113425Z,allowed,,weekly re-check of a polled source
S196,20260909T113425Z,allowed,,weekly re-check of a polled source
S197,20260909T113425Z,allowed,,weekly re-check of a polled source
S198,20260909T113425Z,allowed,,weekly re-check of a polled source
S199,20260909T113427Z,allowed,,weekly re-check of a polled source
S200,20260909T113427Z,allowed,,weekly re-check of a polled source
S201,20260909T113429Z,allowed,,weekly re-check of a polled source
S202,20260909T113429Z,allowed,,weekly re-check of a polled source
S203,20260909T113430Z,allowed,,weekly re-check of a polled source
S15,20260909T113430Z,allowed,,weekly re-check of a polled source
S208,20260909T113431Z,allowed,,weekly re-check of a polled source
S207,20260909T113431Z,allowed,,weekly re-check of a polled source
S12,20260909T114655Z,allowed,,live-layer pass: the outage table the collector polls; host shared with S54
S01,20260909T114655Z,allowed,,live-layer pass: the page the collector polls; host shared with S02/S09/S51/S52
S209,20260909T114656Z,,,live-layer pass
S210,20260909T114735Z,,,live-layer pass
S212,20260909T114736Z,,,live-layer pass: lead
S213,20260909T114737Z,allowed,,live-layer pass: lead
S214,20260909T114738Z,allowed,,live-layer pass: robots.txt 403 from the PC
S03,20260909T124212Z,allowed,,"live-senses pass C1: the observation carries its own obsTime; /robots.txt answers 404 (nginx) - a 404 is no robots.txt, and the 404 body is the evidence"
S52,20260909T124214Z,allowed,,live-senses pass C1: the daily hydrological table; the page states its own reading time in UTC; host shared with S01/S02/S09/S51
S54,20260909T125624Z,allowed,,live-senses pass C1: the same table one day further out; host shared with S12
