source_id,captured_at_utc,outcome,manifest_sha256,note
S138,20260906T002336Z,allowed,197d8e3b3bbe3381ff5b6a98835caf2828411e6a532685d77c4c01fcd0fe398c,"machine-readable XML of the whole list; Serbia has 5 inscribed, 12 tentative, none in Belgrade"
S139,20260906T002337Z,allowed,652c19d1fe6f3eb25d5f3c338c151f3fdb07e74d11867c98bdb0afe2d41e8930,data policy: download requires registration AND forbids redistribution to third parties without consent - incompatible with publishing evidence
S140,20260906T002339Z,allowed,da5a8786f2f7c74a350b0c242da19c3f46352f44ef603d05d4e3459f3b029a73,registration via Danubis required; 79 TNMN monitoring locations basin-wide
S57,20260906T002904Z,allowed,1b80406e9cfce8fcb1edc4c14586e9814e17104e815559b044e6574848cef5cb,"was mistakenly captured as S134; correct id is S57. 86 files verified, 2018-2024, Remark column labels ATC/TS/INT"
S95,20260906T002907Z,allowed,1c0d21aeca6e8ead8e94b1ce50612b887f9e175c88ef11876cfeb39c9c448cbb,was mistakenly captured as S136; correct id is S95
S04,20260906T002909Z,allowed,6f5e479ce17b0214a7b380c065a0a390d64e1e802b78fbbda8900b2d6c3dc337,was mistakenly captured as S137; correct id is S04
S141,20260906T004554Z,refused,b8acc274a8c563e02238f8dab8b3593fe4285ec19366727c5f9680786a317aa5,"keyless SPARQL, CC0"
S142,20260906T004557Z,refused,6a41f8653e922d620270b2b47d6255ad403b35bbf6de0b7b6247d5795aede02c,"keyless, ODbL, response carries timestamp_osm_base"
S143,20260906T004600Z,allowed,f4802c424dacb017691126498b6db288b2b6ef3ac19515f701c75c7fa9619bef,"NAMED OPT-OUT: robots.txt disallows anthropic-ai, ClaudeBot, Claude-Web"
S144,20260906T004601Z,allowed,9a351a057ff9f113ff777cf75279296995e3ff41dee07f93eb199c4537e70517,robots.txt disallows /feeds/
S145,20260906T004603Z,allowed,4105c9a5d0b942da1f78c73e03c9e1ba8542114a8f2f26072372355cdbd89783,nothing collected yet
S143,20260906T004740Z,refused,c8dfd70fd2a7a1615159b4bfb3e30c3e55a19e7ca0371c8a4138c1a22a9c9289,named opt-out
S141,20260906T004741Z,unknown,07457f411ae0363876612d395635b2a1301c6915698a29dd8c99e9a3da0f5fc8,"keyless SPARQL, CC0 content"
S142,20260906T004743Z,unknown,821212e5e14624ce0178b7a7c07b44038be985b507eb28966b5b1578a1544e3f,"keyless, ODbL"
S57,20260906T005008Z,allowed,a037220ad3598c9e13633b43035b689ac66cb81c5338a0457afd9b6302259456,re-capture through the RFC 9309 engine
S95,20260906T005013Z,allowed,db48982ccc38391831a4d5da6228215c56dcdbec5f15a21d6aa1e4f8f06c044a,re-capture
S04,20260906T005014Z,allowed,2feddbf0e3e31c90f4dfefb129d7f358436d8184a3e40bb7c81201fc7f4a4fa2,re-capture
S135,20260906T005016Z,allowed,6852f05fa18a54049eefbc27325b437c5c19cb9c017550b24371ae76e82d6e3d,re-capture
S139,20260906T005017Z,allowed,e2d06c72f60655338faf540b0240645c1bb36aa41b458107f7348ddda81c699f,re-capture
S140,20260906T005019Z,allowed,0464ecba60358843aa6bfde31813f3a8a4d0f903f5bbeceee2a7d912eb7dde78,re-capture
S57,20260906T005048Z,allowed,8d7f75fa210953a88974bf40ed0707fcd9d72eecc72a5824ead7654e3690f2aa,re-capture through the RFC 9309 engine
S95,20260906T005051Z,allowed,90354922cbc80d1b9ec5538d9d25a3a84315903d877dc2aeb2592b3ea50615a5,re-capture
S04,20260906T005101Z,allowed,c48c7f010d979a9027bdd00e1ac930af47619cff09330fcbb9aa3e65234b5800,re-capture
S135,20260906T005115Z,allowed,60c27b836bde0fd07562a59c65cf5ae4050f6860c1856246006f5fccbe5e806b,re-capture
S138,20260906T005125Z,allowed,0e2031ce281e3321b2f1fabde1928912e51a3bf8168a8247dcb5fddc8f9c6c5d,re-capture
S139,20260906T005127Z,allowed,8c49c233c538185f53d7a9d4d39b4d219077c33a590a6eb581dd34c15c07dc00,re-capture
S140,20260906T005138Z,allowed,c828bf7fe530352c9923b2895bd9eeaddff4c01c6d754c1554b5c2b46c00c04b,re-capture
S144,20260906T005153Z,refused,2e68d9031549f9f10eb8c1d5c35010d267dbcc5976ff7a69b1df5ca0e664dd32,"re-capture through the RFC 9309 engine - urllib said allowed, longest-match says disallowed"
S145,20260906T005201Z,allowed,9a2cd5833dc2f0b3c987084434bfb6e78a58273313df25cca36d7c5cc7a94dc5,re-capture
S13,20260906T005202Z,allowed,c5871ce161fdacdde59c0871f791596d2c633d99bd6406420ecdc6eb36db7bf9,"Serbian Open Data Licence; last updated 2025-10-31, cadence irregular"
S141,20260906T005203Z,unknown,5d5446af04367b32c28821a0bd814c27feeaa8d16a378fc32abf47c8088534c3,re-capture through RFC 9309 engine
S142,20260906T005209Z,unknown,ec6bc159777774c3e083d2c6bd925ec84af51eb7c7c5c3b82de4a48fa5aef86e,re-capture through RFC 9309 engine
S143,20260906T005215Z,refused,ae4dc39c16b67b2f9951a456725aaffa9499c47527c3570e8bcfdb5dcef72451,named opt-out
S146,20260906T010850Z,allowed,7fed33d39bfa62cf2cb28015aa775340e23c64e8bee81fad05dee2d50d2a145c,"HVD under Reg (EU) 2023/138, cited by the source as an ELI URI"
S149,20260906T010912Z,unknown,350541f42195991d16a703f4bcbdb7a164dae2cf0d1314976334c6ce8932bc0e,monthly snapshot with DatumPreseka
S150,20260906T010913Z,allowed,4d23d28ec739f09fed0902d1e2eb8bc25480b29b1a05fcbcad1184a78db40aed,
S151,20260906T010920Z,allowed,481b92eee8f01bf1a06e548c757cfa62419f831ee8149de971dfc1a36732926a,"open ArcGIS, three polygon layers"
S152,20260906T010921Z,allowed,620dfff1f59ef549fc02b86b1871db99ea21940df5c2b6ee2c2149d9a161e04b,"weekly, 32MB combined since 2016"
S153,20260906T010921Z,allowed,6c6188e1f542dbac29be44a50b61ffd656ce3c4cd6508f20b99190a51cb38fb0,annual 2010-2024
S154,20260906T010937Z,allowed,5009449214752a43282a036b474204f0c5fc8fe3514406b8454c8e4c5c960aee,16 daily CSV series
S156,20260906T010948Z,unknown,f0ea21840c37b5d36789184924aad16ab333d4d0a78cedff230017cce30e9efc,"2013 onward, plain http"
S147,20260906T011041Z,allowed,e2df60f0131f8b6324013760c17e426b841d4dee1468b355e41a38e3b4f910c5,"udata API, 3530 datasets harvested"
S148,20260906T011056Z,allowed,f668f75530e804f3215e99f89656557687ddd07c58c1b3544294474a6d2d8114,robots.txt: User-agent * Allow /
S149,20260906T011106Z,unknown,0b43abf67b96528156b27e4c15a1bea364965de02566b193565832c502043e7e,"monthly snapshot with DatumPreseka; 57.8 MB, body read capped"
S155,20260906T011111Z,allowed,380be6f8ccb7dcfb9729e7f6a7e99ab221756af4c66a8914a9f329a1d38be2aa,speeds continuous
S156,20260906T011113Z,unknown,74d97bf1dba894bc2aa7d68284d86082672acace84aa84c230bfdd4014c5cec4,"2013 onward, plain http"
S157,20260906T014341Z,allowed,ec8840d923b9f3bcd3e8f6d290659853067dfd1c229675cf4764657bbb297910,"bare IP, plain HTTP"
S158,20260906T014344Z,allowed,cc709146a9414678db39f73574f22d9753d35b3f6cafcf15e1b0098c334f26f7,GPS tracks with field strength
S159,20260906T014345Z,allowed,69a9b11752bb7c7059f0527ac0a5cac13d9c42f58fa8a51958ad5aa79f9f38e2,institutions with rooms and floor area
S160,20260906T014345Z,allowed,e853bf24b8a602d54e97a2933711a64acd7483c76c04455b2e91b476eaf2f46b,official immovable cultural property register
S164,20260906T014346Z,allowed,ad7094e88afbfcff067b7fdc865e5674fbf150616f3f67fc964d938e687bca96,
S165,20260906T014352Z,refused,19df5c224e9504a2d31c941ba7a6ed1739e309ebf284eb72a19e237518ad01da,"139 MB zip, body read capped"
S166,20260906T014354Z,allowed,c3423b97a21e73989a624ec4a2fe4994453c2c6d70457f299165c472369c9427,HTML search
S167,20260906T014359Z,allowed,40602c83f4559bdf94f6557b9d540c397dc65a106621e09137741704ac3c833f,robots Allow /
S168,20260906T014401Z,allowed,9b4de2347703c431c1f984664bf716e5b7e2ebdd4395f77ba976cfa72f84559a,"robots allows, www host returned 403 - retry at apex"
S169,20260906T014405Z,allowed,38c752d42584eebb74ea2203905b03f2c2d4c4c802e5771a1d9df8df4dca366f,"WordPress REST, keep/v1 namespace"
S170,20260906T014407Z,allowed,3fe859a877e013237b3050e6d1b75da5b1fe85925f032ab09ae780a327a965a1,CKAN v3 keyless
S176,20260906T015505Z,allowed,465ccc26df5daef34153d22aa735ac8bae45ef8d3aa14cd9503a365812e8125e,robots path returns HTML
S01,20260906T021500Z,allowed,ba8a26e80afbad6e622a651a7bc88d667b4b43e1fa13194b63cd3e3ef8c719de,backlog capture probe_ok
S02,20260906T021505Z,allowed,9efa8fd6f7c0e2ee574f5dcaa12912e9e3db124a9108c15c4ae58da591534853,backlog capture primary_page
S03,20260906T021507Z,allowed,e39877d0195bec0971b54d3436850e9465e86441afdfe0b492a29c0bb7503800,
S05,20260906T021509Z,allowed,b660bb71cd9f3da4cd496e229a0704ee191eadde54f2360e05156e759e1f83d1,backlog capture probe_ok
S06,20260906T021510Z,allowed,790f837ecc2e0f9d547e1b19abc0925be16de797f1613a973944210ad603341f,backlog capture primary_page
S07,20260906T021512Z,allowed,88c22f865abe3d55c1e63691dd9a4ad82eb6ae6ca121b0ed3412f76356e04a69,backlog capture probe_ok
S08,20260906T021513Z,allowed,8eb592256192857fd6fde190bc0995cce67edc5c546666490d72d62f32765db6,backlog capture primary_page
S10,20260906T021517Z,unknown,f4fd984e024b5f308baa2d297f5830b005dc59cc1ba027360ffab3b0893337dc,backlog capture probe_ok
S11,20260906T021519Z,allowed,0520951117c9fb7c17b2930df225b8f69fa2d812d9521058f79cc226d21da2ca,backlog capture probe_ok
S12,20260906T021522Z,allowed,a8f9b329589a991446f44d1225269936e94c7d644d2962748b1d6f09c00378f8,backlog capture probe_ok
S14,20260906T021525Z,allowed,fae2c4170e6863e949973f55b214492dd46868b73395a74508dd26a84af68ed2,backlog capture probe_ok
S15,20260906T021526Z,allowed,b3607873a7f13b77347a244baf5521f0cbc6ff64bf81fd43f18fa29d172f5a75,backlog capture primary_page
S16,20260906T021528Z,allowed,5c29080c4b70452916fea059fd578d345069b7b014fe931033b452c77e82bbb4,backlog capture primary_page
S17,20260906T021530Z,allowed,8372c1ff0cbbfd047346c7dcdb73219053cef91606183ddb3fb8e1da0b83540a,backlog capture probe_ok
S18,20260906T021533Z,allowed,2da977d9b8382042dd5684f1ef0ffdc9996f3f853210b580f5a014f8e90fe994,backlog capture probe_ok
S19,20260906T021540Z,allowed,7d6c2ada5d9c5d3b9ebd567e0ae9177667a851424da60a0a4b25cfd0dd3c34f9,backlog capture probe_ok
S20,20260906T021545Z,allowed,2323a260e29a6a84b7f48b1cc8b8e0fb1381d0b4cc3ad06feaa3d22d291bfcba,backlog capture primary_page
S21,20260906T021549Z,allowed,aa3d9e22bdbe163877abfaff22ec583a4bef23e5332bdc4707d08125f2adbae5,
S22,20260906T021550Z,allowed,57eec8c56e4b277f66fd962b140310b1ac0019fbcf24d8744d3b98b2a2a62510,backlog capture primary_page
S23,20260906T021552Z,allowed,a904489073bb2f846959a6618261510ebabbdd6cf91a8d74e03f0cc04c50f152,backlog capture primary_page
S24,20260906T021553Z,allowed,ba1733824aff469727e049809cc935f1680debeaa562b0a2f5c872ce6130f431,backlog capture primary_page
S25,20260906T021555Z,allowed,daac1ce0f9bc0abb8291a718b871126c4847bbf262996a27623c29547ac90263,backlog capture primary_page
S26,20260906T021602Z,allowed,e7cc9be870c4481e84d27c6bceb62733dd031221f274e30c76695816fdaa5aa3,backlog capture primary_page
S27,20260906T021606Z,allowed,6240e229199afcc8d51f8e588bf96b0fb2c6941f8f509d4e078996cd0247d3b6,backlog capture primary_page
S28,20260906T021610Z,allowed,b5fbaef4e5725ff151f8414e4403ea4a6260672b21056550cb8844a8b20738f5,backlog capture probe_ok
S29,20260906T021612Z,allowed,bedfaa130538bbf6d35d1b96b422bf2029d8123f808770a01ed1b08536859252,backlog capture primary_page
S30,20260906T021616Z,allowed,899ec7cc89f428f182103a8d5914c5606deb23c4809f02a219661d712c0aa10e,backlog capture primary_page
S31,20260906T021617Z,allowed,4f8cda8b08df06001a0f7e92f6938bfc730df36636e55c64bf11be3617ef19aa,backlog capture primary_page
S32,20260906T021620Z,allowed,a5ac613112537576e900438716ece8899f8794ef35e030f00c1de4818029ea74,backlog capture lead
S33,20260906T021622Z,allowed,0fcc4a70775bc09efb4d2fcb9d33000d6639f67bf3569a06b5154e42c407895f,backlog capture lead
S35,20260906T021626Z,refused,1d6073ac82d38892909d69638d762d4febaf470e176361163abef13eb4283c4b,backlog capture probe_ok
S36,20260906T021629Z,allowed,0386ca18f591b1ce771386266b241b1fbd612057300f88a8a877735e82be5c75,
S37,20260906T021633Z,refused,eddf92f48d8d473d4abf1b0269bfe42c74b081271c7763458a17d3abecc466f3,
S38,20260906T021646Z,allowed,2d4376d18820481387038befd2177560e7341c87581370c5ae9104c9283123da,
S39,20260906T021710Z,allowed,735cc86d38c6da6369775425e941f5f9ba0e981c5e5e8ba3b535b9dd25fdcf68,backlog capture probe_ok
S40,20260906T021711Z,allowed,7364f8752201e96bd6744c69090c5a779f9f17f47fed962c57cce465e37510e2,backlog capture probe_ok
S41,20260906T021713Z,allowed,23160ea6480dd911c40bcf9c928ac4e934ccf5b887c9eb585ccdf4fcbbd9940b,backlog capture probe_ok
S42,20260906T021715Z,refused,d87ee5c6b3e929070577b9f1b58a22416127921bbe66d87ab714afb1fa99432e,backlog capture primary_page
S43,20260906T021717Z,allowed,7a9574d75399715467560d41228594539fe7e904e5d6fa6419786bf51e2caee6,backlog capture primary_page
S44,20260906T021719Z,allowed,024d986c1674af387f10175211909188003d521bcd4a7d863498789cf7d4ea53,backlog capture primary_page
S45,20260906T021721Z,allowed,30279f1678ae50830124bd62ad328b6e9735ebccb77c28291e59f9ffc214dd89,backlog capture probe_ok
S46,20260906T021724Z,allowed,d7222a3190b88eba387f17020c43674e5e2267a28be6e4b691c34f65002b15df,backlog capture probe_ok
S47,20260906T021726Z,allowed,07ddbca62ea5a9984e5b383a1f646f700b271e66cf460da90c45888509b00ec6,backlog capture probe_ok
S48,20260906T021728Z,allowed,e37a6cd921d9f25c43ac08c229b1a2e8a390021267af4f7705a3a6d52bfbed38,backlog capture probe_ok
S49,20260906T021730Z,allowed,cd9c2d1d9600313f16bc95e91bd71722c796f058f6fd1b3f2c37d8958baa03f7,backlog capture probe_ok
S50,20260906T021732Z,allowed,ab38dfdca44c1a988809c87f5c964ff54c9c67dfc1340440cef058eff13b3f6c,backlog capture probe_ok
S51,20260906T021736Z,allowed,26b770996926a018892c4dfc8df156809b6f937894f6c68b97119c70679228a9,backlog capture probe_ok
S52,20260906T021740Z,allowed,4f3d48e599e3720a70b662c2f3d653a1c888a7d9c01c6a22d30b40e7c8e998d4,backlog capture probe_ok
S53,20260906T021742Z,allowed,628b5d56773c69affac3a9a9a54cc804aa2d559f1af48c59da3d52fc041a27a6,backlog capture probe_ok
S54,20260906T021743Z,allowed,374a5efbd51f57e8aaf326433704a2cda31d3f9e32a80b1fd87598712d34c50f,backlog capture probe_ok
S55,20260906T021745Z,allowed,aef64135ef34f681fa3bae6156d118f60e7c4f17802a0c46dd70f5fb95279541,backlog capture probe_ok
S56,20260906T021752Z,allowed,c1520ebbaf4560ced8d0d27dbfb3bfaedb19c5c63c2c7fa91008022f105451ac,backlog capture probe_ok
S58,20260906T021808Z,allowed,a92b344eded799f25b24e62af2ff06bbae22eef0f4a53460c6ff6abf087180ce,backlog capture probe_ok
S59,20260906T021818Z,unknown,637daf863538a360fe9bcf89ff36c8830cb3973d5f21c459dce946c95642d927,backlog capture lead
S60,20260906T021821Z,allowed,f34dae97477e8d4226acf5663be092afcc81b847213fb110a98502cf0f205e21,backlog capture lead
S68,20260906T021824Z,allowed,3bce6d3ebf4b01d4d76bd168ea72628cc3f84aee2e27d607c73de76954909598,backlog capture probe_ok
S69,20260906T021827Z,allowed,a0d9930c9d1513d1f3c756dd3bc36ba93f9385b280de7dc705e46bb5b6f0e1e5,backlog capture probe_ok
S70,20260906T021833Z,allowed,770ef2f54bc4d1f4a0883bad525c66435425f3385b4834cfb7453f777a6273b2,backlog capture probe_ok
S71,20260906T021834Z,allowed,6805fdaee43b6262283959f1680d229e509cef42ccac100b4a96ca340dfc8b02,backlog capture probe_ok
S72,20260906T021835Z,allowed,9947cb6c7ee9fa0747eb3adcd0a603ba0bff07f86ddf0c230c2bd0964c09f854,backlog capture probe_ok
S73,20260906T021839Z,allowed,9c375be1e709ab96f64b5a7883a9418fd41003182d46b047b93eb48da4bfdfc8,backlog capture probe_ok
S74,20260906T021842Z,allowed,34a949dedc3d8e37ad7f7378a59ad75ed23e8a3f325908c2b3e91c8b4be256a6,backlog capture probe_ok
S75,20260906T021849Z,allowed,553f79bc7e94049ec6b598f8ebb2cc4a33e2eedea43ae78c44ff1e452b3229b3,backlog capture probe_ok
S76,20260906T021852Z,allowed,37e9648ece9e0bc164e165c7c94eee80ac9dd42ffe9b1634e9dfd30da3c77e95,backlog capture probe_ok
S77,20260906T021854Z,allowed,87bec40feb65a2c5f88489b68168be3212431fb6718d0f060a2c3aa30dbd6c04,backlog capture probe_ok
S78,20260906T021855Z,allowed,c7310f012a033b9826b07ee804d8dc9ef17639a17ff340fdbf71b354179d0738,backlog capture probe_ok
S79,20260906T021857Z,unknown,01a98f39308b0bf2224adaa5057e8ecc0683f6e8c947ae916e8ba90cfe64adfa,backlog capture probe_ok
S80,20260906T022014Z,allowed,a45b4aeb87f57792f5a576147730c7714901ae40cd7b5f6e88141d728ae43431,backlog capture probe_ok
S81,20260906T022022Z,allowed,be0efc44603471fcf034163f399027112e4f19cd880155aafc7149e361847aad,backlog capture primary_page
S82,20260906T022035Z,allowed,855cd4898238322aa05231951ebcb3d1cde816142fd2925c1b845781200d6a4c,backlog capture lead
S83,20260906T022045Z,allowed,68c8b686a001c7cf9ecfca9226b79a4956de480f6ac888839c163f59426c131c,backlog capture probe_ok
S84,20260906T022048Z,allowed,2f992ac49872c5f9c99496044bdf9a141d83e2e4c06dcef7aa83cfc3bcdca986,backlog capture probe_ok
S85,20260906T022053Z,allowed,d3ce0f1a8a1acf0917e34be36ccfc060fa68274c14f74bb8e2b2a5d4f38362ff,backlog capture probe_ok
S86,20260906T022056Z,allowed,2dc9396083d45485af2675a7406a080649ec92f5b10623e61964fcf44e0750b2,backlog capture probe_ok
S87,20260906T022100Z,allowed,e46809b292d4f37826816268b9c788eb308334e285e353021d59ebfddfc5d7c5,backlog capture probe_ok
S88,20260906T022103Z,allowed,2a2879102de8a638613ce87661970b2f2bf46a476b6d1581a2d9e5dd7fa44100,backlog capture probe_ok
S89,20260906T022112Z,allowed,95785847d13849f1a0c017460d74a19e68052dc4f61b06ce9a5c90ebe1b9a1bd,backlog capture probe_ok
S90,20260906T022117Z,allowed,747259be63a87653aaaa4923000467a39b53d07272f1b1701094d81261b9e4f4,backlog capture probe_ok
S91,20260906T022121Z,allowed,501fcca559414d3cee1bdba9fb15cc7f9b75f48f3d9074544e997aef6b95a07b,backlog capture probe_ok
S92,20260906T022127Z,allowed,576b086f546278b218dbc2220e3748dafc805c74f0853407e0ea6ef14784d698,backlog capture probe_ok
S93,20260906T022138Z,allowed,b76d2a2e8983a2e0acff017c69b400a447097387e77ce8d3e3cd3cc8c5a489f9,backlog capture probe_ok
S94,20260906T022151Z,allowed,8e86131f2eaaeca11ff940c788be4968c0c369cf5c386c7c561ea735a90e28b9,backlog capture probe_ok
S96,20260906T022206Z,allowed,6e5792bab8d5c88ea0f00ab13f8b89d8d7b46c8db2f1afe809302528f689dbc5,backlog capture probe_ok
S97,20260906T022224Z,allowed,c5a3f064265545d732784496ddd908d54103a7356152c5a0399648533bde6b46,backlog capture probe_ok
S98,20260906T022230Z,allowed,36eadba5b0d74a1105a4a9ce74e5a05d25289ea712708ff18d0701f42e569b02,backlog capture probe_ok
S99,20260906T022233Z,allowed,06cb3223615122188d6e7bba68aad0b256901c9c8dc7463ccffc3ddfd89ac76a,backlog capture probe_ok
S100,20260906T022236Z,allowed,6186ef029946c470b8dc5566488b842f2388be4a885936643ff2126c43f41778,backlog capture probe_ok
S101,20260906T022240Z,allowed,e55f54ada88ffaec48d261225a750d4d94c9d031d4696da1308c8c59095afe00,backlog capture lead
S102,20260906T022242Z,allowed,54911475ab55009e8e96122d315314cda873b5c2f49e348df91ac0f5cab00774,backlog capture lead
S109,20260906T022249Z,allowed,ddcb6790cdbccecace424076b30323688142869453a3dfaf7cc059b5ffc3d86c,backlog capture probe_ok
S110,20260906T022255Z,allowed,311c7d679d0bdea659fe91309ab99446db81efa730052452728b40c149979f58,backlog capture probe_ok
S111,20260906T022257Z,allowed,e47e41b253e9aa6d774ab66d6be8a0ebda045d83bb105818bf04216fb4387f57,backlog capture lead
S112,20260906T022307Z,allowed,1245c77b65fb9bb0c685324159e2492fdbbc497df639ea4fd797a2ba51548859,backlog capture probe_ok
S113,20260906T022315Z,allowed,0f5b294836247ffeace2ad45221767e488841bf645fcb5a8576a36af37615491,backlog capture probe_ok
S114,20260906T022317Z,allowed,8de0b1f9f1c7a9c37605d5b65c861ce76c5997fc5e3aaa6b1f4d094be0a2206f,backlog capture probe_ok
S116,20260906T022318Z,refused,7d9f8fbf1a572e0381f695c00bd857eaf6040b35353bda0f622ccb0fa4d99560,backlog capture probe_ok
S117,20260906T022320Z,allowed,fecb4e18d0ec58348aa68f6885abaccf3aa7b7d2b3831aed619d42a4d3cde610,backlog capture probe_ok
S118,20260906T022322Z,allowed,990108efefea6d748f39b6a3c76cf7a1324a279ab262849cff4b505a46f4a4a6,backlog capture probe_ok
S119,20260906T022324Z,allowed,6cc22a0c82df118421b5ef3803a892f4a0f753aa2c6553f246263b22b3e61653,backlog capture lead
S120,20260906T022327Z,allowed,a5675346233ed0de3b47406d7bd45a32a7b73f6c92d7a24c7fafb34054786dde,backlog capture probe_ok
S121,20260906T022330Z,allowed,9da87590f6952725dc73892987f25b43c426859176b73a5672b23f9e7b055028,backlog capture probe_ok
S122,20260906T022332Z,allowed,0558af0f7b77ed2f18e5c187ed877a48b935d2193a8518e8fc18571aad8b9021,backlog capture primary_page
S123,20260906T022335Z,allowed,f61e93516d5325a089af48bb7e62a754cbd0b09788136379e9191cbdcb103e25,backlog capture probe_ok
S124,20260906T022337Z,allowed,61516943e2be9d0b5e7a114f8b94e8a30fe763ca159119c8e6a68369b6f31f46,backlog capture lead
S126,20260906T022339Z,allowed,2053d8b27f6fb79df120c6308fe0947cb56ccab610dee3563cb17c7ac7263868,backlog capture probe_ok
S127,20260906T022341Z,allowed,31df05931133db38999c7991ddc225eeea46d96193d1d267cebf75d407a4a9da,backlog capture probe_ok
S128,20260906T022343Z,allowed,f427ef2aa08fa4181c231e172149f88c0e6e5750f60a0a26403a938f7e8ec3ca,backlog capture probe_ok
S129,20260906T022345Z,allowed,2fafd65c1fa3298c6c1bbd0701c2f4f4394b2f6b4f2ed7e766cb66b5afd690fc,backlog capture probe_ok
S130,20260906T022351Z,allowed,fcdddd93d99c7af950a5af604245302f4fb632b45fe69511343e694ac36a6729,backlog capture probe_ok
S131,20260906T022353Z,allowed,257683bfccf88d33c972cfc1d0ae007302c8a87d9e6cd43785a8df0bd5d0b01f,backlog capture probe_ok
S133,20260906T022400Z,allowed,9c43c37947ba2d36207a60f26827606014033d6cd704042c0d43fc3870e77dc0,backlog capture probe_ok
S161,20260906T022403Z,allowed,b0cb54281a4c09a2f10b4321f71f94602de0b6a6cc14ba147e2453897522cbcc,backlog capture lead
S162,20260906T022405Z,unknown,13704b5164b48d620719622eb5a61d6da3bb7e879a0c38ff0bf58f3a63a07b6b,backlog capture lead
S163,20260906T022454Z,refused,9a4bc27e9ca020293b325ae60c2fbb85b013c5f751ba7fdf313957770652931f,backlog capture lead
S171,20260906T022457Z,allowed,2373f1b20bd36e9cc535191739fe21306ac5a4fdd1851c653819c0ec4b0bb787,backlog capture lead
S172,20260906T022501Z,allowed,1a7004ae5b276a27f84cfed39da0d1aa2f3813e5ee21c1636d235962e187390e,backlog capture lead
S173,20260906T022502Z,allowed,c6853f168b1d2f6a55d9bc72121ff9dcd8d34a1010b7507930057628d778126d,backlog capture probe_ok
S174,20260906T022507Z,allowed,5293e611615566c738c547a74457361b11455d05b7315cac6c9da2ed2d37197a,backlog capture lead
S175,20260906T022509Z,allowed,e328e50bd76a1a61f7830cbe938e6cf8301f43b5369e7f012aa3b7702fc94413,backlog capture lead
S10,20260906T022944Z,allowed,0249cb69f7cbba88713776cd2a8bec2382473ed507ab896dbb1a7f6a3c7faab6,re-capture with the machine trust store
S59,20260906T023020Z,allowed,07465a4dc523ea71e27dc393fcd10f0fc0f431c11186dcc0f9fa2c554eaa3786,re-capture with the machine trust store
S79,20260906T023055Z,allowed,c5df79e582b72f584d1d191bf8e75674aedbfdd6612ade00c477d90efa9dae1e,re-capture
S149,20260906T023158Z,allowed,7a2c41da8480cd063fc6ff9c1b08e6a9e91b5e1b6294a07b8f170b661d7fb1cd,"re-capture, body read is capped"
S156,20260906T023211Z,unknown,3990bbb059373d1c898c64ffc90beef109ef7cf19fe537b69199faae7f4832cb,re-capture
S162,20260906T023212Z,unknown,ad4c291909f0cce525894e467d6bccee3940910c65884b5d972e7a76033f7ba1,re-capture
S42,20260906T023447Z,unknown,706c12b9a31eadc41dd177d1c7d4215c81905b2b02dece7765292af86575fc49,"re-capture: Allow: /$ - urllib mishandles the $ anchor, engines now disagree rather than silently refusing"
